text,label
There is a water leak in the common hallway near building 566.,Maintenance Request
Can I get a receipt for my last payment of unit 849?,Dues & Payment
Please confirm my account balance for unit 108.,Dues & Payment
Loud music from unit 565 after quiet hours.,Rule Violation Report
the street light outside unit 334 has been out for a week.,Maintenance Request
Smoking in non-designated area near building 620.,Rule Violation Report
What is the process for getting a parking permit for unit 575?,General Inquiry
Loud music from unit 140 after quiet hours.,Rule Violation Report
My neighbor at unit 661 is parking in a handicap spot without a permit.,Rule Violation Report
Is there a payment plan available for overdue balances?,Dues & Payment
Loud music from unit 785 after quiet hours.,Rule Violation Report
I haven't received my invoice for this quarter yet.,Dues & Payment
I was unfairly charged a late fee for my payment.,Complaint / Dispute
I need to update my payment method on file.,Dues & Payment
How do I submit a suggestion to the HOA board?,General Inquiry
i need to reserve the community room for a meeting next tuesday.,Amenity Booking
is there a payment plan available for overdue balances?,Dues & Payment
I need to reserve the community room for a meeting next Tuesday.,Amenity Booking
Broken gate at entrance 429 needs urgent repair.,Maintenance Request
When is the deadline for annual assessment payment?,Dues & Payment
Fence along property line 495 has fallen over.,Maintenance Request
When is the deadline for annual assessment payment?,Dues & Payment
the parking lot lights in section 379 are not working.,Maintenance Request
How do I obtain a copy of the community rules and regulations?,General Inquiry
Air conditioning in common area 817 is not cooling properly.,Maintenance Request
the parking lot lights in section 849 are not working.,Maintenance Request
The contractor hired by HOA damaged my property at unit 515.,Complaint / Dispute
I haven't received my invoice for this quarter yet.,Dues & Payment
Smoking in non-designated area near building 919.,Rule Violation Report
Is there a payment plan available for overdue balances?,Dues & Payment
What are the office hours for the HOA management team?,General Inquiry
I am disputing the fine I received for unit 742 last month.,Complaint / Dispute
How do I submit a suggestion to the HOA board?,General Inquiry
Is there a community newsletter I can subscribe to?,General Inquiry
I want to schedule the pool area for a private event.,Amenity Booking
I believe I was double charged for unit 981 this month.,Dues & Payment
Pool pump at amenity area 594 stopped working.,Maintenance Request
What are the office hours for the HOA management team?,General Inquiry
the street light outside unit 255 has been out for a week.,Maintenance Request
Air conditioning in common area 812 is not cooling properly.,Maintenance Request
Pool pump at amenity area 568 stopped working.,Maintenance Request
I NEED TO UPDATE MY PAYMENT METHOD ON FILE.,Dues & Payment
i'd like to reserve the clubhouse for a birthday party on saturday.,Amenity Booking
A resident at building 188 is storing items in the common hallway.,Rule Violation Report
I want to appeal the architectural review board decision.,Complaint / Dispute
Please confirm my account balance for unit 378.,Dues & Payment
Fence along property line 614 has fallen over.,Maintenance Request
air conditioning in common area 218 is not cooling properly.,Maintenance Request
my neighbor at unit 964 is parking in a handicap spot without a permit.,Rule Violation Report
Can I get a receipt for my last payment of unit 858?,Dues & Payment
Can I book the rooftop lounge for a small gathering?,Amenity Booking
Fence along property line 498 has fallen over.,Maintenance Request
UNAPPROVED PET OVER WEIGHT LIMIT SEEN AT UNIT 828.,Rule Violation Report
Can I book the BBQ area near pool 552 for this weekend?,Amenity Booking
Please confirm my account balance for unit 646.,Dues & Payment
Pool pump at amenity area 586 stopped working.,Maintenance Request
i want to appeal the architectural review board decision.,Complaint / Dispute
how do i obtain a copy of the community rules and regulations?,General Inquiry
is there a payment plan available for overdue balances?,Dues & Payment
A resident at building 436 is storing items in the common hallway.,Rule Violation Report
I disagree with the decision made about unit 961 modification.,Complaint / Dispute
I haven't received my invoice for this quarter yet.,Dues & Payment
I feel the recent rule change was not communicated properly.,Complaint / Dispute
commercial vehicle parked in residential spot near unit 946.,Rule Violation Report
I believe I was double charged for unit 943 this month.,Dues & Payment
I haven't received my invoice for this quarter yet.,Dues & Payment
LOUD MUSIC FROM UNIT 202 AFTER QUIET HOURS.,Rule Violation Report
Air conditioning in common area 730 is not cooling properly.,Maintenance Request
The street light outside unit 980 has been out for a week.,Maintenance Request
the elevator in block 669 is making a loud noise.,Maintenance Request
pool pump at amenity area 129 stopped working.,Maintenance Request
THE STREET LIGHT OUTSIDE UNIT 713 HAS BEEN OUT FOR A WEEK.,Maintenance Request
The parking lot lights in section 389 are not working.,Maintenance Request
Fence along property line 180 has fallen over.,Maintenance Request
please reserve the gym for a group fitness session on friday.,Amenity Booking
a resident at building 633 is storing items in the common hallway.,Rule Violation Report
Air conditioning in common area 967 is not cooling properly.,Maintenance Request
The street light outside unit 471 has been out for a week.,Maintenance Request
the parking lot lights in section 158 are not working.,Maintenance Request
i believe i was double charged for unit 273 this month.,Dues & Payment
The contractor hired by HOA damaged my property at unit 191.,Complaint / Dispute
Please reserve the gym for a group fitness session on Friday.,Amenity Booking
When is the deadline for annual assessment payment?,Dues & Payment
What recycling guidelines does our community follow?,General Inquiry
I believe I was double charged for unit 625 this month.,Dues & Payment
air conditioning in common area 398 is not cooling properly.,Maintenance Request
Fence along property line 750 has fallen over.,Maintenance Request
Can I book the rooftop lounge for a small gathering?,Amenity Booking
The parking lot lights in section 826 are not working.,Maintenance Request
I disagree with the decision made about unit 976 modification.,Complaint / Dispute
Please confirm my account balance for unit 662.,Dues & Payment
The contractor hired by HOA damaged my property at unit 473.,Complaint / Dispute
Can I get a receipt for my last payment of unit 167?,Dues & Payment
Please reserve the gym for a group fitness session on Friday.,Amenity Booking
AIR CONDITIONING IN COMMON AREA 829 IS NOT COOLING PROPERLY.,Maintenance Request
I want to schedule the pool area for a private event.,Amenity Booking
I'd like to reserve the clubhouse for a birthday party on Saturday.,Amenity Booking
Broken gate at entrance 807 needs urgent repair.,Maintenance Request
unapproved pet over weight limit seen at unit 721.,Rule Violation Report
A resident at building 474 is storing items in the common hallway.,Rule Violation Report
Can I book the BBQ area near pool 474 for this weekend?,Amenity Booking
please confirm my account balance for unit 888.,Dues & Payment
My neighbor at unit 971 is parking in a handicap spot without a permit.,Rule Violation Report
can i get a receipt for my last payment of unit 484?,Dues & Payment
How do I obtain a copy of the community rules and regulations?,General Inquiry
Commercial vehicle parked in residential spot near unit 385.,Rule Violation Report
I believe I was double charged for unit 525 this month.,Dues & Payment
I want to schedule the pool area for a private event.,Amenity Booking
Broken gate at entrance 463 needs urgent repair.,Maintenance Request
Is there a payment plan available for overdue balances?,Dues & Payment
Fence along property line 504 has fallen over.,Maintenance Request
Is the tennis court near area 244 available this Sunday morning?,Amenity Booking
resident at unit 287 has installed an unauthorized satellite dish.,Rule Violation Report
when is the deadline for annual assessment payment?,Dues & Payment
A resident at building 738 is storing items in the common hallway.,Rule Violation Report
Is there a payment plan available for overdue balances?,Dues & Payment
i was unfairly charged a late fee for my payment.,Complaint / Dispute
The elevator in block 231 is making a loud noise.,Maintenance Request
can i get a receipt for my last payment of unit 589?,Dues & Payment
Broken gate at entrance 685 needs urgent repair.,Maintenance Request
i want to schedule the pool area for a private event.,Amenity Booking
Who do I contact for after-hours emergencies?,General Inquiry
Air conditioning in common area 753 is not cooling properly.,Maintenance Request
There is unauthorized construction happening at unit 961.,Rule Violation Report
IS THERE A PAYMENT PLAN AVAILABLE FOR OVERDUE BALANCES?,Dues & Payment
I believe I was double charged for unit 310 this month.,Dues & Payment
Commercial vehicle parked in residential spot near unit 636.,Rule Violation Report
WHEN IS THE DEADLINE FOR ANNUAL ASSESSMENT PAYMENT?,Dues & Payment
i need to reserve the community room for a meeting next tuesday.,Amenity Booking
what are the office hours for the hoa management team?,General Inquiry
Is the tennis court near area 683 available this Sunday morning?,Amenity Booking
Fence along property line 270 has fallen over.,Maintenance Request
How do I obtain a copy of the community rules and regulations?,General Inquiry
can i book the rooftop lounge for a small gathering?,Amenity Booking
THE STREET LIGHT OUTSIDE UNIT 416 HAS BEEN OUT FOR A WEEK.,Maintenance Request
I'D LIKE TO RESERVE THE CLUBHOUSE FOR A BIRTHDAY PARTY ON SATURDAY.,Amenity Booking
I would like to set up automatic payment for my monthly dues.,Dues & Payment
What recycling guidelines does our community follow?,General Inquiry
Can I book the BBQ area near pool 223 for this weekend?,Amenity Booking
I would like to set up automatic payment for my monthly dues.,Dues & Payment
Broken gate at entrance 700 needs urgent repair.,Maintenance Request
BROKEN GATE AT ENTRANCE 251 NEEDS URGENT REPAIR.,Maintenance Request
Resident at unit 111 has installed an unauthorized satellite dish.,Rule Violation Report
the parking lot lights in section 541 are not working.,Maintenance Request
Broken gate at entrance 716 needs urgent repair.,Maintenance Request
i'd like to reserve the clubhouse for a birthday party on saturday.,Amenity Booking
I would like to set up automatic payment for my monthly dues.,Dues & Payment
UNAPPROVED PET OVER WEIGHT LIMIT SEEN AT UNIT 370.,Rule Violation Report
The board meeting minutes do not reflect what was discussed.,Complaint / Dispute
What is the process for getting a parking permit for unit 241?,General Inquiry
Is there a community newsletter I can subscribe to?,General Inquiry
fence along property line 785 has fallen over.,Maintenance Request
I haven't received my invoice for this quarter yet.,Dues & Payment
how do i obtain a copy of the community rules and regulations?,General Inquiry
Is the tennis court near area 940 available this Sunday morning?,Amenity Booking
WHERE CAN I FIND INFORMATION ABOUT THE UPCOMING BOARD MEETING?,General Inquiry
The street light outside unit 881 has been out for a week.,Maintenance Request
What are the office hours for the HOA management team?,General Inquiry
who do i contact for after-hours emergencies?,General Inquiry
The board meeting minutes do not reflect what was discussed.,Complaint / Dispute
the elevator in block 411 is making a loud noise.,Maintenance Request
I want to schedule the pool area for a private event.,Amenity Booking
Broken gate at entrance 980 needs urgent repair.,Maintenance Request
BROKEN GATE AT ENTRANCE 338 NEEDS URGENT REPAIR.,Maintenance Request
pool pump at amenity area 336 stopped working.,Maintenance Request
Unapproved pet over weight limit seen at unit 999.,Rule Violation Report
Commercial vehicle parked in residential spot near unit 209.,Rule Violation Report
please confirm my account balance for unit 734.,Dues & Payment
When is the deadline for annual assessment payment?,Dues & Payment
Air conditioning in common area 912 is not cooling properly.,Maintenance Request
I would like to set up automatic payment for my monthly dues.,Dues & Payment
Is there a community newsletter I can subscribe to?,General Inquiry
A resident at building 525 is storing items in the common hallway.,Rule Violation Report
I need to reserve the community room for a meeting next Tuesday.,Amenity Booking
When is the deadline for annual assessment payment?,Dues & Payment
when is the deadline for annual assessment payment?,Dues & Payment
what is the process for getting a parking permit for unit 129?,General Inquiry
The contractor hired by HOA damaged my property at unit 404.,Complaint / Dispute
AIR CONDITIONING IN COMMON AREA 639 IS NOT COOLING PROPERLY.,Maintenance Request
Broken gate at entrance 159 needs urgent repair.,Maintenance Request
how do i submit a suggestion to the hoa board?,General Inquiry
i would like to set up automatic payment for my monthly dues.,Dues & Payment
i believe i was double charged for unit 749 this month.,Dues & Payment
There is unauthorized construction happening at unit 776.,Rule Violation Report
Is the tennis court near area 886 available this Sunday morning?,Amenity Booking
How do I book a guest parking spot for the weekend?,Amenity Booking
Please confirm my account balance for unit 663.,Dues & Payment
My neighbor at unit 161 is parking in a handicap spot without a permit.,Rule Violation Report
pool pump at amenity area 997 stopped working.,Maintenance Request
When is the deadline for annual assessment payment?,Dues & Payment
I believe I was double charged for unit 174 this month.,Dues & Payment
fence along property line 832 has fallen over.,Maintenance Request
there is a water leak in the common hallway near building 978.,Maintenance Request
Air conditioning in common area 993 is not cooling properly.,Maintenance Request
The street light outside unit 796 has been out for a week.,Maintenance Request
a resident at building 129 is storing items in the common hallway.,Rule Violation Report
smoking in non-designated area near building 661.,Rule Violation Report
Broken gate at entrance 520 needs urgent repair.,Maintenance Request
I haven't received my invoice for this quarter yet.,Dues & Payment
My neighbor at unit 228 is parking in a handicap spot without a permit.,Rule Violation Report
Air conditioning in common area 237 is not cooling properly.,Maintenance Request
Pool pump at amenity area 719 stopped working.,Maintenance Request
Commercial vehicle parked in residential spot near unit 567.,Rule Violation Report
Can I book the rooftop lounge for a small gathering?,Amenity Booking
Is the tennis court near area 537 available this Sunday morning?,Amenity Booking
Broken gate at entrance 652 needs urgent repair.,Maintenance Request
Can I book the BBQ area near pool 158 for this weekend?,Amenity Booking
Commercial vehicle parked in residential spot near unit 479.,Rule Violation Report
The street light outside unit 844 has been out for a week.,Maintenance Request
Please reserve the gym for a group fitness session on Friday.,Amenity Booking
Is there a community newsletter I can subscribe to?,General Inquiry
THE CONTRACTOR HIRED BY HOA DAMAGED MY PROPERTY AT UNIT 739.,Complaint / Dispute
I'd like to reserve the clubhouse for a birthday party on Saturday.,Amenity Booking
When is the deadline for annual assessment payment?,Dues & Payment
Can I book the BBQ area near pool 316 for this weekend?,Amenity Booking
Please reserve the gym for a group fitness session on Friday.,Amenity Booking
I disagree with the decision made about unit 925 modification.,Complaint / Dispute
I believe I was double charged for unit 813 this month.,Dues & Payment
Is there a community newsletter I can subscribe to?,General Inquiry
how do i obtain a copy of the community rules and regulations?,General Inquiry
Unapproved pet over weight limit seen at unit 810.,Rule Violation Report
Unapproved pet over weight limit seen at unit 530.,Rule Violation Report
how do i obtain a copy of the community rules and regulations?,General Inquiry
Pool pump at amenity area 785 stopped working.,Maintenance Request
There is a water leak in the common hallway near building 897.,Maintenance Request
The street light outside unit 789 has been out for a week.,Maintenance Request
is there a community newsletter i can subscribe to?,General Inquiry
When is the deadline for annual assessment payment?,Dues & Payment
FENCE ALONG PROPERTY LINE 703 HAS FALLEN OVER.,Maintenance Request
Loud music from unit 297 after quiet hours.,Rule Violation Report
i want to schedule the pool area for a private event.,Amenity Booking
the elevator in block 854 is making a loud noise.,Maintenance Request
when is the deadline for annual assessment payment?,Dues & Payment
Please reserve the gym for a group fitness session on Friday.,Amenity Booking
can i book the rooftop lounge for a small gathering?,Amenity Booking
the parking lot lights in section 990 are not working.,Maintenance Request
The parking lot lights in section 256 are not working.,Maintenance Request
Air conditioning in common area 456 is not cooling properly.,Maintenance Request
Please confirm my account balance for unit 686.,Dues & Payment
Can I book the rooftop lounge for a small gathering?,Amenity Booking
How do I submit a suggestion to the HOA board?,General Inquiry
Smoking in non-designated area near building 237.,Rule Violation Report
Pool pump at amenity area 612 stopped working.,Maintenance Request
There is unauthorized construction happening at unit 495.,Rule Violation Report
I need to reserve the community room for a meeting next Tuesday.,Amenity Booking
There is a water leak in the common hallway near building 723.,Maintenance Request
Smoking in non-designated area near building 285.,Rule Violation Report
Commercial vehicle parked in residential spot near unit 334.,Rule Violation Report
The elevator in block 588 is making a loud noise.,Maintenance Request
The street light outside unit 193 has been out for a week.,Maintenance Request
How do I submit a suggestion to the HOA board?,General Inquiry
Unapproved pet over weight limit seen at unit 602.,Rule Violation Report
I need to update my payment method on file.,Dues & Payment
I feel the recent rule change was not communicated properly.,Complaint / Dispute
Can I get a receipt for my last payment of unit 153?,Dues & Payment
I would like to set up automatic payment for my monthly dues.,Dues & Payment
Commercial vehicle parked in residential spot near unit 383.,Rule Violation Report
commercial vehicle parked in residential spot near unit 551.,Rule Violation Report
smoking in non-designated area near building 523.,Rule Violation Report
I want to schedule the pool area for a private event.,Amenity Booking
Can I book the rooftop lounge for a small gathering?,Amenity Booking
can i book the rooftop lounge for a small gathering?,Amenity Booking
CAN I BOOK THE BBQ AREA NEAR POOL 441 FOR THIS WEEKEND?,Amenity Booking
Air conditioning in common area 169 is not cooling properly.,Maintenance Request
can i get a receipt for my last payment of unit 668?,Dues & Payment
Fence along property line 470 has fallen over.,Maintenance Request
I want to schedule the pool area for a private event.,Amenity Booking
The street light outside unit 334 has been out for a week.,Maintenance Request
I HAVEN'T RECEIVED MY INVOICE FOR THIS QUARTER YET.,Dues & Payment
The street light outside unit 720 has been out for a week.,Maintenance Request
Pool pump at amenity area 671 stopped working.,Maintenance Request
My neighbor at unit 268 is parking in a handicap spot without a permit.,Rule Violation Report
fence along property line 374 has fallen over.,Maintenance Request
I want to schedule the pool area for a private event.,Amenity Booking
What recycling guidelines does our community follow?,General Inquiry
Fence along property line 354 has fallen over.,Maintenance Request
Resident at unit 920 has installed an unauthorized satellite dish.,Rule Violation Report
i need to reserve the community room for a meeting next tuesday.,Amenity Booking
How do I obtain a copy of the community rules and regulations?,General Inquiry
Is there a community newsletter I can subscribe to?,General Inquiry
I would like to set up automatic payment for my monthly dues.,Dues & Payment
Can I book the rooftop lounge for a small gathering?,Amenity Booking
I haven't received my invoice for this quarter yet.,Dues & Payment
I believe I was double charged for unit 357 this month.,Dues & Payment
can i get a receipt for my last payment of unit 411?,Dues & Payment
Commercial vehicle parked in residential spot near unit 458.,Rule Violation Report
Can I book the rooftop lounge for a small gathering?,Amenity Booking
Please reserve the gym for a group fitness session on Friday.,Amenity Booking
Pool pump at amenity area 430 stopped working.,Maintenance Request
i believe i was double charged for unit 705 this month.,Dues & Payment
i need to update my payment method on file.,Dues & Payment
can i get a receipt for my last payment of unit 224?,Dues & Payment
i disagree with the decision made about unit 191 modification.,Complaint / Dispute
Fence along property line 780 has fallen over.,Maintenance Request
Please confirm my account balance for unit 708.,Dues & Payment
The street light outside unit 806 has been out for a week.,Maintenance Request
i'd like to reserve the clubhouse for a birthday party on saturday.,Amenity Booking
Is the tennis court near area 988 available this Sunday morning?,Amenity Booking
please reserve the gym for a group fitness session on friday.,Amenity Booking
What are the office hours for the HOA management team?,General Inquiry
THE CONTRACTOR HIRED BY HOA DAMAGED MY PROPERTY AT UNIT 978.,Complaint / Dispute
My neighbor at unit 469 is parking in a handicap spot without a permit.,Rule Violation Report
Commercial vehicle parked in residential spot near unit 704.,Rule Violation Report
The parking lot lights in section 324 are not working.,Maintenance Request
When is the deadline for annual assessment payment?,Dues & Payment
The street light outside unit 723 has been out for a week.,Maintenance Request
I FEEL THE RECENT RULE CHANGE WAS NOT COMMUNICATED PROPERLY.,Complaint / Dispute
The parking lot lights in section 645 are not working.,Maintenance Request
I want to schedule the pool area for a private event.,Amenity Booking
My neighbor at unit 140 is parking in a handicap spot without a permit.,Rule Violation Report
Air conditioning in common area 629 is not cooling properly.,Maintenance Request
Broken gate at entrance 692 needs urgent repair.,Maintenance Request
Broken gate at entrance 975 needs urgent repair.,Maintenance Request
There is unauthorized construction happening at unit 752.,Rule Violation Report
How do I submit a suggestion to the HOA board?,General Inquiry
Please reserve the gym for a group fitness session on Friday.,Amenity Booking
I need to update my payment method on file.,Dues & Payment
Can I book the rooftop lounge for a small gathering?,Amenity Booking
i need to reserve the community room for a meeting next tuesday.,Amenity Booking
I want to appeal the architectural review board decision.,Complaint / Dispute
The parking lot lights in section 873 are not working.,Maintenance Request
I am disputing the fine I received for unit 105 last month.,Complaint / Dispute
I need to update my payment method on file.,Dues & Payment
I'D LIKE TO RESERVE THE CLUBHOUSE FOR A BIRTHDAY PARTY ON SATURDAY.,Amenity Booking
Fence along property line 679 has fallen over.,Maintenance Request
I need to reserve the community room for a meeting next Tuesday.,Amenity Booking
I would like to set up automatic payment for my monthly dues.,Dues & Payment
Can I book the rooftop lounge for a small gathering?,Amenity Booking
Loud music from unit 833 after quiet hours.,Rule Violation Report
Resident at unit 779 has installed an unauthorized satellite dish.,Rule Violation Report
the elevator in block 397 is making a loud noise.,Maintenance Request
My neighbor at unit 324 is parking in a handicap spot without a permit.,Rule Violation Report
How do I submit a suggestion to the HOA board?,General Inquiry
There is unauthorized construction happening at unit 144.,Rule Violation Report
What is the process for getting a parking permit for unit 444?,General Inquiry
I need to update my payment method on file.,Dues & Payment
Where can I find information about the upcoming board meeting?,General Inquiry
The contractor hired by HOA damaged my property at unit 478.,Complaint / Dispute
I haven't received my invoice for this quarter yet.,Dues & Payment
Please reserve the gym for a group fitness session on Friday.,Amenity Booking
How do I book a guest parking spot for the weekend?,Amenity Booking
Smoking in non-designated area near building 884.,Rule Violation Report
The elevator in block 653 is making a loud noise.,Maintenance Request
when is the deadline for annual assessment payment?,Dues & Payment
I would like to set up automatic payment for my monthly dues.,Dues & Payment
i disagree with the decision made about unit 911 modification.,Complaint / Dispute
Pool pump at amenity area 823 stopped working.,Maintenance Request
Fence along property line 946 has fallen over.,Maintenance Request
The parking lot lights in section 884 are not working.,Maintenance Request
When is the deadline for annual assessment payment?,Dues & Payment
There is a water leak in the common hallway near building 803.,Maintenance Request
i haven't received my invoice for this quarter yet.,Dues & Payment
There is a water leak in the common hallway near building 146.,Maintenance Request
pool pump at amenity area 705 stopped working.,Maintenance Request
I need to update my payment method on file.,Dues & Payment
Pool pump at amenity area 940 stopped working.,Maintenance Request
I WAS UNFAIRLY CHARGED A LATE FEE FOR MY PAYMENT.,Complaint / Dispute
There is unauthorized construction happening at unit 667.,Rule Violation Report
Air conditioning in common area 230 is not cooling properly.,Maintenance Request
I feel the recent rule change was not communicated properly.,Complaint / Dispute
how do i book a guest parking spot for the weekend?,Amenity Booking
There is unauthorized construction happening at unit 802.,Rule Violation Report
I was unfairly charged a late fee for my payment.,Complaint / Dispute
The street light outside unit 883 has been out for a week.,Maintenance Request
how do i submit a suggestion to the hoa board?,General Inquiry
the parking lot lights in section 831 are not working.,Maintenance Request
The street light outside unit 176 has been out for a week.,Maintenance Request
Smoking in non-designated area near building 260.,Rule Violation Report
How do I submit a suggestion to the HOA board?,General Inquiry
There is a water leak in the common hallway near building 959.,Maintenance Request
A resident at building 656 is storing items in the common hallway.,Rule Violation Report
FENCE ALONG PROPERTY LINE 412 HAS FALLEN OVER.,Maintenance Request
When is the deadline for annual assessment payment?,Dues & Payment
I am disputing the fine I received for unit 351 last month.,Complaint / Dispute
Fence along property line 973 has fallen over.,Maintenance Request
Fence along property line 404 has fallen over.,Maintenance Request
Is the tennis court near area 887 available this Sunday morning?,Amenity Booking
A resident at building 594 is storing items in the common hallway.,Rule Violation Report
i am disputing the fine i received for unit 625 last month.,Complaint / Dispute
I HAVEN'T RECEIVED MY INVOICE FOR THIS QUARTER YET.,Dues & Payment
Can I book the BBQ area near pool 311 for this weekend?,Amenity Booking
i need to reserve the community room for a meeting next tuesday.,Amenity Booking
How do I submit a suggestion to the HOA board?,General Inquiry
Broken gate at entrance 279 needs urgent repair.,Maintenance Request
There is a water leak in the common hallway near building 187.,Maintenance Request
Please reserve the gym for a group fitness session on Friday.,Amenity Booking
A resident at building 405 is storing items in the common hallway.,Rule Violation Report
I would like to set up automatic payment for my monthly dues.,Dues & Payment
The parking lot lights in section 776 are not working.,Maintenance Request
Where can I find information about the upcoming board meeting?,General Inquiry
There is a water leak in the common hallway near building 991.,Maintenance Request
unapproved pet over weight limit seen at unit 641.,Rule Violation Report
There is a water leak in the common hallway near building 881.,Maintenance Request
The elevator in block 102 is making a loud noise.,Maintenance Request
Smoking in non-designated area near building 204.,Rule Violation Report
The street light outside unit 466 has been out for a week.,Maintenance Request
I need to update my payment method on file.,Dues & Payment
The board meeting minutes do not reflect what was discussed.,Complaint / Dispute
There is unauthorized construction happening at unit 195.,Rule Violation Report
When is the deadline for annual assessment payment?,Dues & Payment
is there a payment plan available for overdue balances?,Dues & Payment
I disagree with the decision made about unit 891 modification.,Complaint / Dispute
pool pump at amenity area 806 stopped working.,Maintenance Request
There is unauthorized construction happening at unit 203.,Rule Violation Report
I haven't received my invoice for this quarter yet.,Dues & Payment
SMOKING IN NON-DESIGNATED AREA NEAR BUILDING 449.,Rule Violation Report
How do I submit a suggestion to the HOA board?,General Inquiry
resident at unit 788 has installed an unauthorized satellite dish.,Rule Violation Report
when is the deadline for annual assessment payment?,Dues & Payment
Fence along property line 358 has fallen over.,Maintenance Request
When is the deadline for annual assessment payment?,Dues & Payment
Broken gate at entrance 609 needs urgent repair.,Maintenance Request
how do i submit a suggestion to the hoa board?,General Inquiry
How do I obtain a copy of the community rules and regulations?,General Inquiry
pool pump at amenity area 549 stopped working.,Maintenance Request
Air conditioning in common area 392 is not cooling properly.,Maintenance Request
Is there a payment plan available for overdue balances?,Dues & Payment
The elevator in block 170 is making a loud noise.,Maintenance Request
There is unauthorized construction happening at unit 113.,Rule Violation Report
i want to schedule the pool area for a private event.,Amenity Booking
Commercial vehicle parked in residential spot near unit 915.,Rule Violation Report
I am disputing the fine I received for unit 961 last month.,Complaint / Dispute
Can I book the rooftop lounge for a small gathering?,Amenity Booking
IS THERE A COMMUNITY NEWSLETTER I CAN SUBSCRIBE TO?,General Inquiry
Unapproved pet over weight limit seen at unit 951.,Rule Violation Report
There is a water leak in the common hallway near building 426.,Maintenance Request
Broken gate at entrance 897 needs urgent repair.,Maintenance Request
Broken gate at entrance 960 needs urgent repair.,Maintenance Request
Smoking in non-designated area near building 460.,Rule Violation Report
Please confirm my account balance for unit 879.,Dues & Payment
Can I get a receipt for my last payment of unit 240?,Dues & Payment
A RESIDENT AT BUILDING 891 IS STORING ITEMS IN THE COMMON HALLWAY.,Rule Violation Report
when is the deadline for annual assessment payment?,Dues & Payment
Pool pump at amenity area 508 stopped working.,Maintenance Request
Commercial vehicle parked in residential spot near unit 936.,Rule Violation Report
I am disputing the fine I received for unit 510 last month.,Complaint / Dispute
i believe i was double charged for unit 424 this month.,Dues & Payment
I was unfairly charged a late fee for my payment.,Complaint / Dispute
I haven't received my invoice for this quarter yet.,Dues & Payment
What are the office hours for the HOA management team?,General Inquiry
i haven't received my invoice for this quarter yet.,Dues & Payment
I need to reserve the community room for a meeting next Tuesday.,Amenity Booking
Please confirm my account balance for unit 100.,Dues & Payment
Please confirm my account balance for unit 193.,Dues & Payment
Is there a payment plan available for overdue balances?,Dues & Payment
My neighbor at unit 998 is parking in a handicap spot without a permit.,Rule Violation Report
Air conditioning in common area 965 is not cooling properly.,Maintenance Request
The board meeting minutes do not reflect what was discussed.,Complaint / Dispute
Can I get a receipt for my last payment of unit 316?,Dues & Payment
Is there a payment plan available for overdue balances?,Dues & Payment
I haven't received my invoice for this quarter yet.,Dues & Payment
When is the deadline for annual assessment payment?,Dues & Payment
Can I get a receipt for my last payment of unit 316?,Dues & Payment
i haven't received my invoice for this quarter yet.,Dues & Payment
The board meeting minutes do not reflect what was discussed.,Complaint / Dispute
The parking lot lights in section 741 are not working.,Maintenance Request
Air conditioning in common area 106 is not cooling properly.,Maintenance Request
what recycling guidelines does our community follow?,General Inquiry
The board meeting minutes do not reflect what was discussed.,Complaint / Dispute
Can I get a receipt for my last payment of unit 439?,Dues & Payment
there is a water leak in the common hallway near building 241.,Maintenance Request
Resident at unit 904 has installed an unauthorized satellite dish.,Rule Violation Report
there is a water leak in the common hallway near building 446.,Maintenance Request
I was unfairly charged a late fee for my payment.,Complaint / Dispute
I'd like to reserve the clubhouse for a birthday party on Saturday.,Amenity Booking
Where can I find information about the upcoming board meeting?,General Inquiry
unapproved pet over weight limit seen at unit 522.,Rule Violation Report
UNAPPROVED PET OVER WEIGHT LIMIT SEEN AT UNIT 936.,Rule Violation Report
there is a water leak in the common hallway near building 295.,Maintenance Request
I would like to set up automatic payment for my monthly dues.,Dues & Payment
Please confirm my account balance for unit 916.,Dues & Payment
Commercial vehicle parked in residential spot near unit 728.,Rule Violation Report
I need to update my payment method on file.,Dues & Payment
There is unauthorized construction happening at unit 491.,Rule Violation Report
the parking lot lights in section 528 are not working.,Maintenance Request
Can I get a receipt for my last payment of unit 497?,Dues & Payment
The street light outside unit 711 has been out for a week.,Maintenance Request
Pool pump at amenity area 492 stopped working.,Maintenance Request
Can I book the rooftop lounge for a small gathering?,Amenity Booking
There is a water leak in the common hallway near building 576.,Maintenance Request
How do I book a guest parking spot for the weekend?,Amenity Booking
the elevator in block 774 is making a loud noise.,Maintenance Request
Fence along property line 985 has fallen over.,Maintenance Request
Can I get a receipt for my last payment of unit 438?,Dues & Payment
There is unauthorized construction happening at unit 902.,Rule Violation Report
there is a water leak in the common hallway near building 951.,Maintenance Request
The street light outside unit 923 has been out for a week.,Maintenance Request
The parking lot lights in section 385 are not working.,Maintenance Request
air conditioning in common area 955 is not cooling properly.,Maintenance Request
A RESIDENT AT BUILDING 762 IS STORING ITEMS IN THE COMMON HALLWAY.,Rule Violation Report
The elevator in block 114 is making a loud noise.,Maintenance Request
How do I book a guest parking spot for the weekend?,Amenity Booking
the elevator in block 742 is making a loud noise.,Maintenance Request
I'd like to reserve the clubhouse for a birthday party on Saturday.,Amenity Booking
Commercial vehicle parked in residential spot near unit 294.,Rule Violation Report
